approval_id,dataset_id,approval_type,approval_state,approved_by,approval_date,valid_until,conditions,notes
APR-001,DS-001,LOCAL,APPROVED,Data Governance Lead,2026-08-03,2027-08-03,"Per-item licence check required at ingest","API metadata must be inspected per item"
APR-002,DS-002,LOCAL,APPROVED,Data Governance Lead,2026-08-03,2027-08-03,"NC clause must be enforced","Not for commercial SaaS without additional licence"
APR-003,DS-003,LOCAL,APPROVED,Data Governance Lead,2026-08-03,Indefinite,"Attribution required","CC BY 4.0 fully permits reuse with attribution"
APR-004,DS-003,STAGING,APPROVED,Data Governance Lead,2026-08-03,Indefinite,"Attribution required","Approved for staging retrieval"
APR-005,DS-004,LOCAL,APPROVED,Data Governance Lead,2026-08-03,Indefinite,None,"CC0 — no conditions"
APR-006,DS-004,STAGING,APPROVED,Data Governance Lead,2026-08-03,Indefinite,None,"CC0 — approved for staging"
APR-007,DS-005,LOCAL,APPROVED,Data Governance Lead,2026-08-03,2027-08-03,"Metadata only","Full-text not approved"
APR-008,DS-005,STAGING,APPROVED,Data Governance Lead,2026-08-03,2027-08-03,"Metadata only","For citation evaluation only"
APR-009,DS-006,LOCAL,PENDING,,,,"Per-item rights check required","Quarantined pending PENDING_RIGHTS_REVIEW"
APR-010,DS-007,LOCAL,APPROVED,Data Governance Lead,2026-08-03,2027-08-03,"Filter CC BY only for production","NC items restricted to local use"
APR-011,DS-008,LOCAL,APPROVED,Data Governance Lead,2026-08-03,2029-08-03,"Attribution required","UNESCO CC BY-SA 3.0 IGO"
APR-012,DS-008,STAGING,APPROVED,Data Governance Lead,2026-08-03,2029-08-03,"Attribution required",""
APR-013,DS-009,LOCAL,APPROVED,Data Governance Lead,2026-08-03,Indefinite,None,"Public domain"
APR-014,DS-009,STAGING,APPROVED,Data Governance Lead,2026-08-03,Indefinite,None,"Public domain"
APR-015,DS-009,PRODUCTION,APPROVED,Data Governance Lead,2026-08-03,Indefinite,None,"Public domain — no restriction"
APR-016,DS-010,LOCAL,APPROVED,Project Owner,2026-08-03,Indefinite,None,"Internally authored"
APR-017,DS-010,STAGING,APPROVED,Project Owner,2026-08-03,Indefinite,None,"Internally authored"
APR-018,DS-010,PRODUCTION,APPROVED,Project Owner,2026-08-03,Indefinite,None,"Internally authored"
APR-019,DS-011,LOCAL,APPROVED,Project Owner,2026-08-03,Indefinite,"Evaluation only — never ingest into retrieval","Synthetic evaluation corpus"
APR-020,DS-011,STAGING,APPROVED,Project Owner,2026-08-03,Indefinite,"Evaluation only","Synthetic challenges"
APR-021,DS-011,PRODUCTION,APPROVED,Project Owner,2026-08-03,Indefinite,"Evaluation only","Synthetic challenges"
APR-022,DS-012,LOCAL,PENDING,,,,"Quarantined — awaiting rights review","Do not ingest"
