source_id,source_name,data_category,official_reference,rights_summary,status,intended_use,decision_or_constraint,verified_on
SRC-001,OpenAlex,Scholarly metadata,https://docs.openalex.org/download-all-data/openalex-snapshot,CC0 metadata,candidate,Metadata discovery and verification only; no assumption that linked full text is licensed,Licence verified at source; complete legal review before production,2026-07-21
SRC-002,Crossref,DOI and scholarly metadata,https://www.crossref.org/documentation/retrieve-metadata/,Broadly open metadata; record-level caveats may apply,candidate,"Source identity, DOI resolution and bibliographic verification",Do not infer full-text rights from metadata availability,2026-07-21
SRC-003,Directory of Open Access Journals,Open-access journal metadata,https://doaj.org/docs/public-data-dump/,Metadata CC0; article licences vary,candidate,Discovery of open-access literature and licence signals,Verify each article's licence and version before full-text storage,2026-07-21
SRC-004,Europe PMC,Life-sciences metadata and permitted full text,https://europepmc.org/RestfulWebService,Record-specific licence fields,candidate,Health-sciences source discovery and verification,Ingest full text only when item licence and intended use permit it,2026-07-21
SRC-005,OER Commons,Open educational resources,https://oercommons.org/,Item-level licences; mixed,candidate,Pedagogy and teaching-resource discovery,No bulk reuse until item-level rights are captured,2026-07-21
SRC-006,SkillsCommons,Workforce and competency-based OER,https://www.skillscommons.org/,Many resources CC BY; item-level terms apply,candidate,"Vocational, technical and work-integrated learning examples","Capture item licence, attribution and provenance",2026-07-21
SRC-007,MIT OpenCourseWare,Course materials,https://ocw.mit.edu/pages/privacy-and-terms-of-use/,Generally CC BY-NC-SA; exceptions apply,reference_only,Design research and non-commercial evaluation where permitted,Commercial product use requires separate legal decision or permission,2026-07-21
SRC-008,OpenStax,Open textbooks,https://openstax.org/,Edition-specific; current materials are generally CC BY-NC-SA,reference_only,Academic-content research and item-level evaluation where permitted,Do not place non-commercial content in a commercial training corpus,2026-07-21
SRC-009,Institution-provided materials,"Policies, templates, modules and assessments",contract://institution,Contract and data-sharing agreement,planned,Runtime institutional context and authorised workflows,Tenant-isolated; not model training by default,2026-07-21
SRC-010,Project expert-authored examples,Human-authored teaching and assessment examples,project://expert-authored,Contributor agreement,planned,"Prompt evaluation, output-format exemplars and possible adaptation after approval","Require originality, provenance and conflict-of-interest declarations",2026-07-21
SRC-011,Project synthetic fixtures,Fictional workflow and safety cases,project://synthetic,Project internal,approved_for_scaffold,Development and evaluation setup,Must never be represented as real institutional evidence,2026-07-21
