dataset_id,title,licence,licence_url,copyright_owner,rights_verified,verification_date,verification_method,verified_by,permitted_retrieval,permitted_evaluation,permitted_training,notes
DS-001,OER Commons Full Repository Index,"Various CC licences per item",https://creativecommons.org/licenses/,"Individual authors; ISKME",PARTIAL,2026-08-03,API_metadata_inspection,Data Governance Lead,true,false,CONDITIONAL,"Per-item licence must be checked at ingest time"
DS-002,MIT OpenCourseWare — Full Course Archive,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,YES,2026-08-03,licence_page_review,Data Governance Lead,true,true,NO,"NC clause — not for commercial model training"
DS-003,OpenStax Peer-Reviewed Open Textbooks,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Rice University,YES,2026-08-03,licence_page_review,Data Governance Lead,true,true,YES,"Most permissive licence in catalogue"
DS-004,OpenAlex Scholarly Metadata — Education Subset,CC0 1.0 Universal,https://creativecommons.org/publicdomain/zero/1.0/,No copyright claimed,YES,2026-08-03,API_documentation_review,Data Governance Lead,true,true,YES,"CC0 — fully open"
DS-005,Crossref Metadata API — Education Works,Crossref free tier; metadata CC0,https://www.crossref.org/documentation/retrieve-metadata/rest-api/,"Crossref (metadata)",YES,2026-08-03,API_terms_review,Data Governance Lead,false,true,CONDITIONAL,"Metadata only; full-text rights NOT included"
DS-006,MERLOT — Higher Education Teaching Materials,Various CC per item,https://creativecommons.org/licenses/,"Individual contributors",PARTIAL,2026-08-03,catalogue_page_review,Data Governance Lead,false,false,PENDING,"Per-item check required; quarantined"
DS-007,Directory of Open Access Books (DOAB),"Various open licences (CC BY, CC BY-NC)",https://www.doabooks.org/en/resources/faq,"Individual publishers and authors",PARTIAL,2026-08-03,API_metadata_inspection,Data Governance Lead,true,false,CONDITIONAL,"Filter to CC BY only for production"
DS-008,UNESCO OER Policy Guidelines,CC BY-SA 3.0 IGO,https://creativecommons.org/licenses/by-sa/3.0/igo/,UNESCO,YES,2026-08-03,document_page_review,Data Governance Lead,true,false,YES,"With attribution"
DS-009,Bloom's Taxonomy — Public Domain,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,Public Domain,YES,2026-08-03,copyright_duration_check,Data Governance Lead,true,true,YES,"1956 original in public domain in most jurisdictions"
DS-010,Synthetic Assessment Blueprint and Rubric Templates,MIT,https://opensource.org/licenses/MIT,Project authors,YES,2026-08-03,author_declaration,Data Governance Lead,true,true,YES,"Internally authored"
DS-011,Citation Integrity Evaluation Corpus — Synthetic Challenges,MIT,https://opensource.org/licenses/MIT,Project authors,YES,2026-08-03,author_declaration,Data Governance Lead,false,true,YES,"Evaluation only — must not be ingested into retrieval"
DS-012,MERLOT Item-Level Teaching Materials,PENDING_RIGHTS_REVIEW,,Individual contributors,NO,,,Data Governance Lead,false,false,PENDING,"Quarantined — awaiting per-item licence verification"
